x,y
376.8892211838006,641.4943925233645
376.1232962715611,641.2435487231662
375.5272311916423,640.7395882948747
374.79876732268775,640.212304031373
374.35801740339883,640.3066171158239
373.82545868735167,640.0258072394915
374.9445431248814,638.7414168663599
375.6293036121858,638.2333688767314
375.7492193981172,639.2700668916502
375.60777197681,639.5902610194952
375.92757344780705,640.552659871408
375.79698384812104,641.7868887309672
375.662611426941,642.7070245933438
376.4999946768305,643.4237128724301
375.18018548773,645.0481363873296
375.24612798618824,644.6235627922404
375.7801300077962,644.2749198903349
377.70786688441194,644.5236824816529
378.2485473222482,644.3785102682752
380.39631484109094,643.4847825489585
381.16120946315016,642.4602534038368
379.72291089232834,642.6989267148722
379.0607630980436,643.2043482422448
378.514179017895,644.2022581166191
378.9840917097266,644.423377338519
380.17705455494485,644.9735343262308
380.7887884096893,644.8737306790771
381.82223118129286,644.9713778328305
381.4377965975143,645.2958713071133
381.3978679382899,645.4031208638319
381.0959785970688,646.8001549681732
380.93684167704293,647.2182162402878
380.90177869156196,647.818928927066
380.3036053187239,647.3316045004144
379.24925012584725,647.7162693320931
379.2135987977657,647.2949804411993
379.1237026187055,647.157474531561
379.5189762567274,645.9751105390781
379.6840551567889,645.0736906853708
380.94621271113647,644.6361883192541
381.5718022045923,644.2565067265343
381.40848637200054,644.0020121469925
381.05960837046723,644.0914571554129
381.9664630334817,644.1396222744066
382.2456403814167,644.4357734815977
382.41263605694445,644.7543523977366
383.8020032414657,644.7371158279883
384.2664121187157,644.250163951697
384.49111115807955,644.0518898033552
385.2303555326947,644.0758968957516
386.8466332033138,643.7495360182804
387.21478141505725,643.5485113596322
387.5690653097595,642.8470243374002
387.2381564249015,641.9434210009434
386.73482625861925,642.0804011105855
386.6479650778375,641.0879471946271
386.5949796084835,640.6343435072815
386.1471097666363,640.2056451862957
386.42071082343216,639.8295425924787
385.9665063207341,639.8008193679192
385.51893136013007,639.6017226670102
385.7107138061581,640.9984969977107
386.0034005712437,642.1450757590114
385.98769062930745,644.1866279877153
386.54969859007457,646.7244597178459
387.444100941922,649.0956734775694
388.4950313610134,651.3373746692514
389.8510817780908,655.3448785658808
390.7795408117654,658.6147278234396
390.13774580042343,659.8633569794774
388.94979049628387,661.7270628054061
388.19530362686464,659.8331984536957
387.11504364235475,660.11322287535
386.20509106418194,657.6799007380964
385.4778624626024,656.6868199692724
385.5994421108762,654.9161650243103
384.82534768959,653.1618053404268
384.50647317999386,651.4195997259859
384.3467661395406,650.553645945673
383.7551210842013,650.8009809755528
383.28038261785866,650.8237657342779
382.908533390096,651.6795357503273
382.52798863252633,651.8441257633338
381.6059714845231,645.989455887997
380.50176863330717,647.3010337583618
380.5672276029572,650.3279053468724
381.5171299230559,652.014120012708
382.7684762862246,657.1657626332156
383.5380017784403,661.3756276324632
383.9580230827736,659.2350169998316
384.7178732480386,650.9396901235217
384.9978852217632,653.2052613006242
385.16508945278997,661.802004871127
385.7865705855944,659.7866024319645
386.05872372583633,653.9069638282056
386.30873841190794,649.4388578066059
386.49427408861675,651.2232996461361
386.66780652328475,659.4264193286642
386.6151740182239,662.5898465215171
386.7048269713132,653.8170366362685
386.5409570863509,653.4169294818995
386.29420300356844,655.8019852007776
385.88533837770376,657.9659541522878
384.8460956124704,655.3342083589578
384.18980871178223,655.3048090904176
384.9166808784505,657.7826323660918
385.3098298489512,658.2910718312764
386.44114363622504,650.553255458607
387.0388215176222,650.5969663377758
387.04144519818453,659.8992923140937
387.39731020554524,661.9448903933484
387.4121840614349,655.3316603997926
387.6002779490265,648.8134776002744
387.02658171050507,647.1849457086125
386.34065965296855,655.4679195304066
385.41418072460806,659.3583618469175
384.2224907435305,649.5403383237717
382.96582847414584,646.8014180238087
383.2332686167126,650.4379724300809
382.5070806507309,654.3285856897713
380.8501800722697,652.3618861585314
379.9004063487025,651.9479724427222
380.06682687239106,654.7737693053259
381.84409412850016,656.8473367715898
383.12458128853837,654.1240768980282
383.8308082724571,646.1685578857143
383.7046519708042,652.4967293574394
384.29295710804945,658.1748838539078
385.0315708707842,655.9128278168216
385.8430527097587,650.1990139358469
386.4970463745792,647.4249748927955
386.7178008972039,650.2595344775921
385.96634193318795,660.0288741353245
384.76397730651684,659.9100402429407
383.86185431795803,652.5911649497225
383.53494961496375,652.3427867988548
383.35466405258,657.1128111390707
382.74620596977877,657.7659837545572
381.82322845181363,654.2101443069972
381.0970252248038,653.4135643035457
382.227799350159,654.9629170650887
383.16357202902213,653.1126474170138
383.68875538522,645.6759782810074
383.4338965054524,647.6921174021275
383.52531421781134,659.2468551228495
383.96340983051505,662.7157277717038
384.3615445297179,659.0078369311118
384.2557518413213,654.684034764283
383.81380334194,656.018533130889
382.5978992990819,663.0178763533012
381.7971482638014,659.5854799909972
382.1935927371045,646.4653401064785
382.3903337351228,645.9091105047296
382.80369514697634,648.6543358908177
381.22709422812363,650.9670940133242
379.9879770134316,650.1176727330339
380.56626325911077,650.9107356186732
381.39687433206984,654.4395934043511
382.25769642121713,655.3750226854172
382.83168718006414,650.4336195479948
383.95916051796553,648.8849341314685
385.0450419550368,659.1986073849932
386.3418315198355,661.7046341739982
387.371404235795,656.3347549452236
387.9800279138712,649.1157754203746
387.9005117074727,645.4690560495205
387.8879746168564,648.3547481191943
387.4586655733455,657.4496190469008
387.1894011232548,658.5419591301087
386.5291082520507,649.5595927362012
385.12138669989207,650.9074269870772
384.01121231319536,655.4597146826043
383.34392952667196,655.3547657941932
382.94332714123993,651.9564064623662
